operacao,custo,total,media
643,2,366715,570.3188180404354
644,2,366717,569.4363354037267
645,2,366719,568.5565891472868
646,635,367354,568.6594427244582
647,2,367356,567.7836166924266
648,634,367990,567.8858024691358
649,2,367992,567.0138674884438
650,1053,369045,567.7615384615384
651,636,369681,567.8663594470046
652,2,369683,566.9984662576687
653,1077,370760,567.7794793261868
654,630,371390,567.8746177370031
655,2,371392,567.0106870229008
656,630,372022,567.1067073170732
657,2,372024,566.2465753424658
658,630,372654,566.3434650455927
659,2,372656,565.4871016691958
660,1084,373740,566.2727272727273
661,2,373742,565.4190620272315
662,2,373744,564.5679758308157
663,2,373746,563.7194570135747
664,2,373748,562.8734939759037
665,2,373750,562.0300751879699
666,2,373752,561.1891891891892
667,2,373754,560.3508245877061
668,662,374416,560.502994011976
669,630,375046,560.6068759342302
670,2,375048,559.7731343283582
671,1089,376137,560.5618479880775
672,631,376768,560.6666666666666
673,631,377399,560.7711738484398
674,2,377401,559.9421364985163
675,2,377403,559.1155555555556
676,1102,378505,559.9186390532544
677,2,378507,559.0945347119646
678,2,378509,558.2728613569321
679,644,379153,558.3991163475699
680,2,379155,557.5808823529412
681,2,379157,556.7650513950074
682,2,379159,555.9516129032259
683,2,379161,555.1405563689605
684,2,379163,554.3318713450292
685,630,379793,554.4423357664234
686,2,379795,553.637026239067
687,638,380433,553.759825327511
688,630,381063,553.8706395348837
689,2,381065,553.0696661828737
690,2,381067,552.2710144927536
691,2,381069,551.4746743849494
692,2,381071,550.6806358381502
693,2,381073,549.8888888888889
694,1127,382200,550.7204610951009
695,2,382202,549.9309352517986
696,2,382204,549.1436781609195
697,2,382206,548.3586800573888
698,2,382208,547.5759312320916
699,2,382210,546.7954220314735
700,671,382881,546.9728571428572
701,2,382883,546.1954350927247
702,2,382885,545.420227920228
703,1170,384055,546.3086770981508
704,2,384057,545.5355113636364
705,2,384059,544.7645390070923
706,2,384061,543.9957507082153
707,1171,385232,544.8826025459689
708,2,385234,544.1158192090395
709,2,385236,543.3511988716502
710,2,385238,542.5887323943662
711,2,385240,541.8284106891701
712,2,385242,541.0702247191011
713,630,385872,541.194950911641
714,2,385874,540.4397759103641
715,647,386521,540.5888111888112
716,2,386523,539.836592178771
717,1192,387715,540.7461645746165
718,2,387717,539.9958217270195
719,1193,388910,540.904033379694
720,1194,390104,541.8111111111111
721,2,390106,541.0624133148405
722,2,390108,540.3157894736842
723,2,390110,539.5712309820194
724,2,390112,538.828729281768
725,635,390747,538.9613793103448
726,1196,391943,539.866391184573
727,2,391945,539.1265474552957
728,2,391947,538.3887362637363
729,1198,393145,539.2935528120713
730,2,393147,538.5575342465753
731,2,393149,537.8235294117648
732,2,393151,537.0915300546449
733,2,393153,536.3615279672579
734,2,393155,535.633514986376
735,1201,394356,536.5387755102041
736,1202,395558,537.4429347826087
737,2,395560,536.7164179104477
738,2,395562,535.9918699186992
739,2,395564,535.2692828146144
740,2,395566,534.5486486486486
741,643,396209,534.6950067476383
